level,dash_frm_mini_t_lv1,mt_speed,unknown,dash_frm_mini_t_lv2,smt_speed,unknown_2,dash_frm_jump_b,jb_speed,unknown_3,mt_threshold,smt_threshold,umt_threshold
1,21,1.055,0.1395,72,1.055,0.1295,16,1.305,0.219,280,590,900
2,22,1.06,0.139,74,1.06,0.129,17,1.31,0.218,278,586,894
3,23,1.065,0.1385,76,1.065,0.1285,18,1.315,0.217,276,582,888
4,24,1.07,0.138,78,1.07,0.128,19,1.32,0.216,274,578,882
5,25,1.075,0.1375,80,1.075,0.1275,20,1.325,0.215,272,574,876
6,26,1.08,0.137,82,1.08,0.127,21,1.33,0.214,269,568,867
7,27,1.085,0.1365,84,1.085,0.1265,22,1.335,0.213,266,562,858
8,28,1.09,0.136,86,1.09,0.126,23,1.34,0.212,263,556,849
9,29,1.095,0.1355,88,1.095,0.1255,24,1.345,0.211,260,550,840
10,30,1.1,0.135,90,1.1,0.125,25,1.35,0.21,256,542,828
11,31,1.105,0.1345,92,1.105,0.1245,26,1.355,0.209,252,534,816
12,32,1.11,0.134,94,1.11,0.124,27,1.36,0.208,248,526,804
13,33,1.115,0.1335,96,1.115,0.1235,28,1.365,0.207,244,518,792
14,34,1.12,0.133,98,1.12,0.123,29,1.37,0.206,240,510,780
15,35,1.125,0.1325,100,1.125,0.1225,30,1.375,0.205,235,500,765
16,36,1.13,0.132,102,1.13,0.122,31,1.38,0.204,230,490,750
17,37,1.135,0.1315,104,1.135,0.1215,32,1.385,0.203,223,476,729
18,38,1.14,0.131,106,1.14,0.121,33,1.39,0.202,216,462,708
19,39,1.145,0.1305,108,1.145,0.1205,34,1.395,0.201,208,446,684
20,40,1.15,0.13,110,1.15,0.12,35,1.4,0.2,200,430,660
Default,30,1.1,0.135,90,1.1,0.125,25,1.35,0.21,250,660,1100
